
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 60, col 14, Error - Using Chinese characters: '💡 后续' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 61, col 14, Error - Using Chinese characters: '👁️ 效果' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 64, col 14, Error - Using Chinese characters: '📋 实施' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 65, col 14, Error - Using Chinese characters: '📁 目录' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 66, col 14, Error - Using Chinese characters: '📖 使用' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 67, col 14, Error - Using Chinese characters: '🔜  工作' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 68, col 14, Error - Using Chinese characters: '📝 总结' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 69, col 14, Error - Using Chinese characters: '🔧 重构' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 70, col 14, Error - Using Chinese characters: '📄 修改' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 71, col 14, Error - Using Chinese characters: '⬆️ 体验' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 74, col 14, Error - Using Chinese characters: '👁️ 需要' (i18n/no-chinese-character)
