
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\kline\basic\composables\useKLineChart.ts: line 33, col 98, Error - Using Chinese characters: <br/>最高:  (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\kline\basic\composables\useKLineChart.ts: line 42, col 16, Error - Using Chinese characters: 'K线' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\kline\basic\composables\useKLineChart.ts: line 42, col 46, Error - Using Chinese characters: '成交量' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\kline\basic\composables\useKLineChart.ts: line 51, col 20, Error - Using Chinese characters: '保存为图片' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\kline\basic\composables\useKLineChart.ts: line 57, col 20, Error - Using Chinese characters: '数据视图' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\kline\basic\composables\useKLineChart.ts: line 62, col 20, Error - Using Chinese characters: '还原' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\kline\basic\composables\useKLineChart.ts: line 208, col 17, Error - Using Chinese characters: 'K线' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\kline\basic\composables\useKLineChart.ts: line 221, col 17, Error - Using Chinese characters: '成交量' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\line\basic\composables\useLineChart.ts: line 39, col 20, Error - Using Chinese characters: '保存为图片' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\line\basic\composables\useLineChart.ts: line 45, col 20, Error - Using Chinese characters: '数据视图' (i18n/no-chinese-character)
